timestamp	device	q0	q1	q2	q3	yaw	pitch	roll
2026-03-15T22:12:36.2787424+08:00	0x08	0.0158	-0.0587	0.6091	0.7908	75.01	355.76	5.54
2026-03-15T22:12:36.3342443+08:00	0x08	0.0159	-0.0587	0.6102	0.7899	75.17	355.78	5.55
2026-03-15T22:12:36.4399493+08:00	0x08	0.0160	-0.0587	0.6113	0.7891	75.33	355.79	5.57
2026-03-15T22:12:36.5359982+08:00	0x08	0.0161	-0.0587	0.6123	0.7883	75.47	355.81	5.58
2026-03-15T22:12:36.6390209+08:00	0x08	0.0161	-0.0586	0.6132	0.7876	75.60	355.82	5.59
2026-03-15T22:12:36.7431225+08:00	0x08	0.0162	-0.0586	0.6140	0.7869	75.72	355.83	5.60
2026-03-15T22:12:36.8590547+08:00	0x08	0.0163	-0.0586	0.6148	0.7863	75.84	355.84	5.60
2026-03-15T22:12:36.9485695+08:00	0x08	0.0163	-0.0586	0.6155	0.7858	75.95	355.85	5.61
2026-03-15T22:12:37.0528664+08:00	0x08	0.0164	-0.0586	0.6162	0.7852	76.04	355.86	5.62
2026-03-15T22:12:37.1578593+08:00	0x08	0.0164	-0.0586	0.6169	0.7847	76.14	355.87	5.63
2026-03-15T22:12:37.2187137+08:00	0x08	0.0164	-0.0585	0.6175	0.7842	76.23	355.88	5.63
2026-03-15T22:12:37.3222213+08:00	0x08	0.0165	-0.0585	0.6181	0.7837	76.32	355.89	5.64
2026-03-15T22:12:37.4219255+08:00	0x08	0.0165	-0.0585	0.6187	0.7833	76.40	355.90	5.64
2026-03-15T22:12:37.5221250+08:00	0x08	0.0165	-0.0585	0.6192	0.7829	76.48	355.90	5.64
2026-03-15T22:12:37.6411002+08:00	0x08	0.0166	-0.0585	0.6196	0.7825	76.54	355.91	5.65
2026-03-15T22:12:37.7338002+08:00	0x08	0.0166	-0.0584	0.6201	0.7822	76.61	355.92	5.65
2026-03-15T22:12:37.8405048+08:00	0x08	0.0166	-0.0584	0.6205	0.7819	76.67	355.92	5.66
2026-03-15T22:12:37.9417742+08:00	0x08	0.0167	-0.0584	0.6209	0.7815	76.73	355.93	5.66
2026-03-15T22:12:38.0514320+08:00	0x08	0.0167	-0.0584	0.6213	0.7812	76.78	355.93	5.66
2026-03-15T22:12:38.1145518+08:00	0x08	0.0167	-0.0584	0.6216	0.7810	76.84	355.94	5.67
2026-03-15T22:12:38.1986891+08:00	0x08	0.0168	-0.0584	0.6220	0.7807	76.89	355.95	5.67
2026-03-15T22:12:38.3032951+08:00	0x08	0.0168	-0.0584	0.6223	0.7804	76.94	355.95	5.68
2026-03-15T22:12:38.4103491+08:00	0x08	0.0168	-0.0584	0.6226	0.7802	76.98	355.95	5.68
2026-03-15T22:12:38.5175761+08:00	0x08	0.0168	-0.0584	0.6230	0.7799	77.03	355.96	5.68
2026-03-15T22:12:38.6232921+08:00	0x08	0.0167	-0.0583	0.6232	0.7797	77.07	355.96	5.66
2026-03-15T22:12:38.7355083+08:00	0x08	0.0168	-0.0583	0.6234	0.7795	77.10	355.97	5.68
2026-03-15T22:12:38.8241104+08:00	0x08	0.0168	-0.0584	0.6233	0.7796	77.08	355.97	5.68
2026-03-15T22:12:38.9329952+08:00	0x08	0.0168	-0.0584	0.6231	0.7798	77.05	355.96	5.68
2026-03-15T22:12:38.9871147+08:00	0x08	0.0168	-0.0584	0.6231	0.7798	77.05	355.97	5.68
2026-03-15T22:12:39.0945681+08:00	0x08	-0.0293	-0.0119	0.6257	0.7794	77.56	356.83	358.24
2026-03-15T22:12:39.1935217+08:00	0x08	-0.0084	-0.0352	0.6272	0.7780	77.69	356.26	1.78
2026-03-15T22:12:39.3058163+08:00	0x08	0.0242	-0.0567	0.6314	0.7730	78.31	356.70	6.26
2026-03-15T22:12:39.4025084+08:00	0x08	0.1102	-0.0923	0.6312	0.7622	79.25	359.91	16.53
2026-03-15T22:12:39.5048200+08:00	0x08	0.1758	-0.1648	0.6211	0.7458	79.14	358.22	27.84
2026-03-15T22:12:39.6062511+08:00	0x08	0.1624	-0.2288	0.6166	0.7356	77.36	350.81	31.40
2026-03-15T22:12:39.7098440+08:00	0x08	0.2125	-0.2353	0.5999	0.7346	76.33	353.52	36.48
2026-03-15T22:12:39.8108235+08:00	0x08	0.2568	-0.2664	0.5706	0.7332	72.77	352.34	42.89
2026-03-15T22:12:39.8672957+08:00	0x08	0.2709	-0.2875	0.5462	0.7387	68.49	349.39	45.58
2026-03-15T22:12:39.9789827+08:00	0x08	0.2496	-0.2809	0.5528	0.7438	68.82	348.81	42.99
2026-03-15T22:12:40.0873093+08:00	0x08	0.2177	-0.2349	0.5786	0.7501	72.89	352.79	36.75
2026-03-15T22:12:40.1912761+08:00	0x08	0.1671	-0.1875	0.5959	0.7628	74.54	354.32	28.58
2026-03-15T22:12:40.2897806+08:00	0x08	0.1303	-0.1383	0.6061	0.7723	75.59	356.57	21.65
2026-03-15T22:12:40.3992936+08:00	0x08	0.0798	-0.0773	0.6161	0.7798	76.48	358.69	12.69
2026-03-15T22:12:40.4915706+08:00	0x08	0.0437	-0.0373	0.6223	0.7807	77.10	359.78	6.58
2026-03-15T22:12:40.6067439+08:00	0x08	0.0165	0.0096	0.6272	0.7786	77.72	2.04	0.78
2026-03-15T22:12:40.6990112+08:00	0x08	-0.0191	0.0590	0.6330	0.7717	78.52	3.85	354.02
2026-03-15T22:12:40.7525472+08:00	0x08	-0.0159	0.1081	0.6332	0.7663	78.44	8.48	350.72
2026-03-15T22:12:40.8778300+08:00	0x08	0.0072	0.1277	0.6322	0.7642	78.30	11.93	351.34
2026-03-15T22:12:40.9571446+08:00	0x08	0.0618	0.1214	0.6278	0.7664	78.20	15.32	356.69
2026-03-15T22:12:41.0692079+08:00	0x08	0.1068	0.0840	0.6276	0.7666	79.06	15.27	3.34
2026-03-15T22:12:41.1730501+08:00	0x08	0.0955	0.0784	0.6322	0.7649	79.49	13.95	2.69
2026-03-15T22:12:41.2821681+08:00	0x08	0.0976	0.0608	0.6287	0.7691	79.00	12.53	4.23
