timestamp	device	q0	q1	q2	q3	yaw	pitch	roll
2026-04-23T22:04:15.4193670+08:00	0x04	0.4780	-0.3334	-0.8002	0.1415	216.47	290.47	336.53
2026-04-23T22:04:15.4498890+08:00	0x06	-0.6774	-0.0774	0.7311	-0.0263	176.15	274.08	8.56
2026-04-23T22:04:15.6237724+08:00	0x09	-0.7202	0.0241	0.6923	0.0387	178.91	267.79	354.89
2026-04-23T22:04:15.6627229+08:00	0x03	-0.6247	0.2271	0.7311	0.1538	183.96	277.85	328.38
2026-04-23T22:04:15.7739711+08:00	0x02	-0.4145	-0.4973	0.7307	-0.2167	166.92	292.51	65.01
2026-04-23T22:04:15.9368811+08:00	0x01	0.4972	0.3578	-0.7202	0.3257	192.03	297.32	57.05
2026-04-23T22:04:15.9785686+08:00	0x07	-0.3855	-0.5278	0.5135	-0.5560	316.90	52.66	76.11
2026-04-23T22:04:16.1205406+08:00	0x09	-0.7263	0.0528	0.6799	0.0863	177.63	266.45	348.63
2026-04-23T22:04:16.2548314+08:00	0x03	-0.6042	0.2524	0.6027	0.4560	151.82	285.95	301.20
2026-04-23T22:04:16.3818622+08:00	0x02	-0.5471	-0.3246	0.7591	-0.1383	169.05	284.43	40.10
2026-04-23T22:04:16.4836247+08:00	0x07	-0.2489	-0.6304	0.3117	-0.6660	351.54	83.22	46.42
2026-04-23T22:04:16.5536339+08:00	0x01	0.5572	0.2451	-0.6819	0.4056	206.95	294.78	51.84
2026-04-23T22:04:16.6422667+08:00	0x09	-0.7251	0.0888	0.6683	0.1402	176.45	265.92	341.21
2026-04-23T22:04:16.7858786+08:00	0x03	-0.6058	0.2521	0.6075	0.4476	153.22	285.21	301.94
2026-04-23T22:04:16.9510852+08:00	0x02	-0.5692	-0.3538	0.6861	-0.2829	178.58	279.92	53.85
2026-04-23T22:04:16.9989270+08:00	0x07	-0.2868	-0.6482	0.3310	-0.6229	356.24	90.45	51.85
2026-04-23T22:04:17.0615102+08:00	0x08	-0.7188	-0.1971	0.6391	-0.1899	177.27	262.51	31.66
2026-04-23T22:04:17.1003173+08:00	0x01	0.5681	0.2875	-0.6238	0.4532	209.40	292.88	60.89
2026-04-23T22:04:17.1647326+08:00	0x09	-0.7274	0.0767	0.6720	0.1156	177.39	265.82	344.26
2026-04-23T22:04:17.3844904+08:00	0x03	-0.4817	0.4412	0.5473	0.5232	113.18	335.88	279.24
2026-04-23T22:04:17.5271351+08:00	0x02	-0.5375	-0.3993	0.6912	-0.2717	174.26	281.11	57.58
2026-04-23T22:04:17.6168494+08:00	0x08	-0.7237	-0.1757	0.6440	-0.1748	178.10	262.85	28.65
2026-04-23T22:04:17.6468754+08:00	0x05	-0.4923	0.4949	0.5352	0.4757	159.17	294.39	273.53
2026-04-23T22:04:17.7178168+08:00	0x01	0.5627	0.2919	-0.6345	0.4422	207.94	293.29	60.23
2026-04-23T22:04:17.8600258+08:00	0x03	-0.4762	0.4572	0.5199	0.5422	87.36	0.27	277.38
2026-04-23T22:04:18.0405493+08:00	0x02	-0.5457	-0.3915	0.6876	-0.2759	174.95	280.38	57.10
2026-04-23T22:04:18.1357734+08:00	0x08	-0.7272	-0.1607	0.6476	-0.1613	178.41	263.00	26.27
2026-04-23T22:04:18.2397386+08:00	0x09	-0.7282	0.0725	0.6734	0.1049	177.89	265.79	345.49
2026-04-23T22:04:18.4318960+08:00	0x03	-0.4768	0.4601	0.5325	0.5267	100.15	349.22	277.13
2026-04-23T22:04:18.5156923+08:00	0x02	-0.5524	-0.3822	0.6989	-0.2456	172.33	279.47	53.67
2026-04-23T22:04:18.6385259+08:00	0x04	0.4769	-0.3345	-0.8006	0.1407	216.46	290.54	336.34
2026-04-23T22:04:18.6657610+08:00	0x07	-0.2635	-0.6605	0.3037	-0.6341	356.87	90.96	47.34
2026-04-23T22:04:18.7459320+08:00	0x01	0.5778	0.2807	-0.6705	0.3712	197.02	287.15	53.65
2026-04-23T22:04:18.7694809+08:00	0x06	-0.7340	-0.0468	0.6774	-0.0115	176.94	265.29	4.60
2026-04-23T22:04:19.0623650+08:00	0x03	-0.4728	0.4683	0.5292	0.5264	93.59	356.31	276.58
2026-04-23T22:04:19.1727482+08:00	0x07	-0.2060	-0.6777	0.2393	-0.6641	357.24	90.25	36.72
2026-04-23T22:04:19.2402029+08:00	0x06	-0.7347	-0.0472	0.6766	-0.0129	177.01	265.16	4.76
2026-04-23T22:04:19.3302542+08:00	0x09	-0.7291	0.0712	0.6728	0.1030	177.95	265.65	345.76
2026-04-23T22:04:19.5287162+08:00	0x03	-0.4732	0.4682	0.5303	0.5251	95.10	354.91	276.56
2026-04-23T22:04:19.6167286+08:00	0x02	-0.5981	-0.3313	0.7049	-0.1886	169.58	275.17	43.85
2026-04-23T22:04:19.7578027+08:00	0x07	-0.2005	-0.6794	0.2334	-0.6662	357.28	90.25	35.75
2026-04-23T22:04:19.8496841+08:00	0x09	-0.7284	0.0723	0.6733	0.1041	177.93	265.76	345.58
2026-04-23T22:04:20.0591872+08:00	0x03	-0.4692	0.4729	0.5276	0.5271	88.51	1.74	276.45
2026-04-23T22:04:20.1777379+08:00	0x02	-0.5958	-0.3348	0.7043	-0.1920	169.62	275.29	44.46
2026-04-23T22:04:20.3038030+08:00	0x07	-0.1982	-0.6800	0.2310	-0.6671	357.28	90.23	35.35
2026-04-23T22:04:20.3827696+08:00	0x09	-0.7274	0.0721	0.6745	0.1039	177.92	265.94	345.61
2026-04-23T22:04:20.6046462+08:00	0x03	-0.4719	0.4708	0.5310	0.5232	94.77	355.61	276.42
2026-04-23T22:04:20.7047874+08:00	0x02	-0.5934	-0.3397	0.7016	-0.2004	169.95	275.31	45.61
2026-04-23T22:04:20.8289793+08:00	0x01	0.5834	0.2728	-0.6759	0.3582	195.59	286.02	51.89
2026-04-23T22:04:20.8632431+08:00	0x07	-0.1949	-0.6806	0.2290	-0.6681	357.15	90.16	34.90
2026-04-23T22:04:20.9051700+08:00	0x06	-0.7341	-0.0472	0.6773	-0.0126	176.99	265.26	4.73
2026-04-23T22:04:20.9449383+08:00	0x09	-0.7277	0.0698	0.6746	0.1021	177.87	265.92	345.95
2026-04-23T22:04:21.1673185+08:00	0x02	-0.5909	-0.3414	0.7027	-0.2013	170.02	275.64	45.86
2026-04-23T22:04:21.3503413+08:00	0x01	0.5798	0.2784	-0.6760	0.3596	195.57	286.48	52.51
2026-04-23T22:04:21.4126483+08:00	0x04	0.4347	-0.4673	-0.6979	-0.3249	172.36	301.44	290.82
2026-04-23T22:04:21.4598543+08:00	0x09	-0.7286	0.0689	0.6740	0.1007	177.91	265.79	346.13
2026-04-23T22:04:21.7291055+08:00	0x03	-0.4684	0.4745	0.5306	0.5234	90.87	359.89	276.37
2026-04-23T22:04:21.9132751+08:00	0x07	-0.1922	-0.6817	0.2251	-0.6691	357.28	90.22	34.34
2026-04-23T22:04:21.9358745+08:00	0x01	0.5784	0.2767	-0.6760	0.3632	196.34	287.01	52.58
2026-04-23T22:04:22.0612199+08:00	0x09	-0.7285	0.0691	0.6741	0.1004	177.95	265.80	346.15
2026-04-23T22:04:22.2590627+08:00	0x02	-0.5873	-0.3439	0.7030	-0.2065	170.48	276.15	46.56
2026-04-23T22:04:22.3200698+08:00	0x03	-0.4664	0.4753	0.5289	0.5262	87.18	3.49	276.51
2026-04-23T22:04:22.4583304+08:00	0x08	-0.7319	-0.1545	0.6432	-0.1639	179.02	262.39	26.01
2026-04-23T22:04:22.5929916+08:00	0x09	-0.7326	0.0660	0.6718	0.0870	178.81	265.17	347.52
