timestamp	device	q0	q1	q2	q3	yaw	pitch	roll
2026-05-08T14:33:12.9752359+08:00	0x06	0.7110	0.0625	-0.7003	-0.0146	173.71	268.92	3.83
2026-05-08T14:33:13.0044039+08:00	0x09	0.0523	-0.0676	-0.6404	0.7633	280.04	350.20	359.61
2026-05-08T14:33:13.0734930+08:00	0x03	0.0101	-0.0466	0.2655	0.9629	30.72	355.15	2.53
2026-05-08T14:33:13.1154927+08:00	0x07	-0.2316	-0.6564	0.2952	-0.6545	353.46	87.54	43.68
2026-05-08T14:33:13.2740384+08:00	0x02	0.0167	-0.0045	-0.9730	0.2304	206.64	358.02	359.94
2026-05-08T14:33:13.4355731+08:00	0x08	-0.0043	-0.0156	0.0535	0.9984	6.14	358.19	359.60
2026-05-08T14:33:13.5027258+08:00	0x06	0.6988	-0.0986	-0.6860	-0.1774	173.44	270.25	337.47
2026-05-08T14:33:13.5738074+08:00	0x09	0.0523	-0.0676	-0.6404	0.7633	280.04	350.20	359.61
2026-05-08T14:33:13.5968443+08:00	0x04	-0.0144	-0.0192	-0.2015	0.9792	336.78	358.18	357.94
2026-05-08T14:33:13.6266320+08:00	0x03	0.0101	-0.0466	0.2655	0.9629	30.72	355.15	2.53
2026-05-08T14:33:13.6735441+08:00	0x07	-0.3728	-0.6262	0.3996	-0.5561	3.21	98.89	66.21
2026-05-08T14:33:13.8807321+08:00	0x02	0.0167	-0.0045	-0.9730	0.2304	206.64	358.02	359.94
2026-05-08T14:33:14.0575766+08:00	0x06	0.7051	-0.1403	-0.6724	-0.1764	177.49	267.86	334.06
2026-05-08T14:33:14.1810830+08:00	0x07	-0.3322	-0.6513	0.3330	-0.5954	3.71	97.11	56.04
2026-05-08T14:33:14.2202214+08:00	0x04	-0.0144	-0.0192	-0.2015	0.9792	336.78	358.18	357.94
2026-05-08T14:33:14.3283142+08:00	0x02	0.0167	-0.0045	-0.9730	0.2304	206.64	358.02	359.94
2026-05-08T14:33:14.5273647+08:00	0x08	-0.0043	-0.0156	0.0535	0.9984	6.14	358.19	359.60
2026-05-08T14:33:14.5740676+08:00	0x06	0.7037	-0.1414	-0.6753	-0.1700	178.06	268.08	334.52
2026-05-08T14:33:14.6193392+08:00	0x01	-0.0186	-0.0648	-0.2283	0.9712	333.76	353.25	356.24
2026-05-08T14:33:14.7279464+08:00	0x07	-0.3065	-0.6600	0.3038	-0.6150	2.82	95.39	51.07
2026-05-08T14:33:14.7810522+08:00	0x03	0.0101	-0.0466	0.2655	0.9629	30.72	355.15	2.54
2026-05-08T14:33:14.9572833+08:00	0x02	0.0167	-0.0045	-0.9730	0.2304	206.64	358.02	359.94
2026-05-08T14:33:15.1497271+08:00	0x06	0.7033	-0.1434	-0.6752	-0.1701	178.22	268.08	334.36
2026-05-08T14:33:15.2033490+08:00	0x07	-0.2915	-0.6658	0.2892	-0.6230	2.41	94.89	48.44
2026-05-08T14:33:15.3105056+08:00	0x04	-0.0144	-0.0192	-0.2015	0.9792	336.78	358.18	357.94
2026-05-08T14:33:15.4269956+08:00	0x02	0.0167	-0.0045	-0.9730	0.2304	206.64	358.02	359.94
2026-05-08T14:33:15.6123186+08:00	0x08	-0.0043	-0.0156	0.0535	0.9984	6.14	358.19	359.60
2026-05-08T14:33:15.6697730+08:00	0x09	0.0523	-0.0676	-0.6404	0.7633	280.04	350.21	359.61
2026-05-08T14:33:15.7448250+08:00	0x07	-0.2772	-0.6699	0.2754	-0.6313	1.95	94.23	45.97
2026-05-08T14:33:15.9046377+08:00	0x04	-0.0144	-0.0192	-0.2015	0.9792	336.78	358.18	357.94
2026-05-08T14:33:16.0491766+08:00	0x02	0.0167	-0.0045	-0.9730	0.2304	206.64	358.02	359.94
2026-05-08T14:33:16.1945875+08:00	0x08	-0.0043	-0.0156	0.0535	0.9984	6.14	358.19	359.60
2026-05-08T14:33:16.2586183+08:00	0x09	0.0523	-0.0676	-0.6404	0.7633	280.04	350.21	359.61
2026-05-08T14:33:16.3504232+08:00	0x04	-0.0144	-0.0192	-0.2015	0.9792	336.78	358.18	357.94
2026-05-08T14:33:16.4133814+08:00	0x03	0.0101	-0.0466	0.2655	0.9629	30.72	355.15	2.54
2026-05-08T14:33:16.5234549+08:00	0x07	-0.2643	-0.6716	0.2674	-0.6384	1.09	93.34	44.16
2026-05-08T14:33:16.7547616+08:00	0x08	-0.0043	-0.0156	0.0535	0.9984	6.14	358.19	359.60
2026-05-08T14:33:16.8028920+08:00	0x01	-0.0186	-0.0648	-0.2283	0.9712	333.76	353.25	356.24
2026-05-08T14:33:16.8513256+08:00	0x07	-0.2586	-0.6732	0.2899	-0.6292	358.64	93.29	45.70
