timestamp	device	q0	q1	q2	q3	yaw	pitch	roll	left_knee_deg	right_knee_deg
2026-07-01T22:09:24.1289718+08:00	0x04	0.4462	0.3002	-0.3058	0.7857	332.87	25.26	62.22	0.00	0.00
2026-07-01T22:09:24.2774628+08:00	0x01	-0.3427	-0.0852	0.4192	-0.8364	302.75	349.07	40.14	0.00	0.00
2026-07-01T22:09:24.4110190+08:00	0x07	-0.4821	0.4178	0.5718	0.5158	122.40	327.13	282.80	0.00	0.00
2026-07-01T22:09:24.4643746+08:00	0x02	0.4102	0.1814	-0.7606	0.4694	228.88	322.80	41.38	0.00	0.00
2026-07-01T22:09:24.5766732+08:00	0x03	-0.3444	0.3981	0.5041	0.6847	58.53	23.95	299.19	0.00	0.00
2026-07-01T22:09:24.6776022+08:00	0x06	0.1605	-0.6620	-0.1847	-0.7084	3.20	85.31	331.84	0.00	0.00
2026-07-01T22:09:24.7341653+08:00	0x01	-0.2290	-0.3628	0.5216	-0.7375	300.20	25.13	45.74	0.00	0.00
2026-07-01T22:09:24.9598890+08:00	0x02	0.3240	0.3543	-0.7662	0.4272	227.91	340.23	55.06	0.00	0.00
2026-07-01T22:09:25.0779958+08:00	0x08	0.6848	0.0285	-0.7281	0.0100	178.60	273.48	3.17	0.00	0.00
2026-07-01T22:09:25.1273114+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	0.00	0.00
2026-07-01T22:09:25.2616995+08:00	0x04	0.4031	0.1272	-0.6209	0.6602	262.39	332.64	43.65	0.00	0.00
2026-07-01T22:09:25.3816999+08:00	0x01	-0.1821	-0.3967	0.5258	-0.7301	301.42	32.07	43.08	0.00	0.00
2026-07-01T22:09:25.5207204+08:00	0x02	0.2869	0.3827	-0.7452	0.4647	239.82	352.46	56.82	0.00	0.00
2026-07-01T22:09:25.5625244+08:00	0x08	0.7019	-0.1438	-0.6833	-0.1406	180.61	268.34	336.81	0.00	0.00
