timestamp	device	q0	q1	q2	q3	yaw	pitch	roll
2026-06-18T15:22:07.8998090+08:00	0x09	0.0733	0.0031	0.0782	0.9942	9.07	1.03	8.35
2026-06-18T15:22:07.9842309+08:00	0x08	-0.0041	-0.0084	0.0405	0.9991	4.64	359.02	359.57
2026-06-18T15:22:08.0502956+08:00	0x02	0.4915	-0.1406	-0.8202	-0.2568	161.14	303.04	331.12
2026-06-18T15:22:08.1841447+08:00	0x07	0.0256	-0.0788	-0.0545	0.9951	353.53	350.81	2.43
2026-06-18T15:22:08.2670239+08:00	0x03	-0.1774	0.4260	0.5632	0.6854	64.02	33.79	313.69
2026-06-18T15:22:08.5169097+08:00	0x09	0.0733	0.0031	0.0782	0.9942	9.07	1.02	8.35
2026-06-18T15:22:08.5670460+08:00	0x08	-0.0041	-0.0084	0.0405	0.9991	4.64	359.02	359.57
2026-06-18T15:22:08.6348909+08:00	0x02	0.4633	-0.1360	-0.8399	-0.2478	160.94	306.89	332.74
2026-06-18T15:22:08.7179254+08:00	0x07	0.0256	-0.0788	-0.0545	0.9951	353.53	350.81	2.43
2026-06-18T15:22:08.7992649+08:00	0x03	-0.1839	0.3975	0.4562	0.7746	47.37	36.01	319.64
2026-06-18T15:22:08.8337246+08:00	0x01	-0.2795	-0.3380	0.5712	-0.6938	287.58	13.68	50.72
2026-06-18T15:22:09.2000654+08:00	0x06	0.0113	0.0370	-0.4281	0.9029	309.35	3.28	2.98
2026-06-18T15:22:09.2355496+08:00	0x07	0.0256	-0.0788	-0.0545	0.9951	353.53	350.81	2.43
2026-06-18T15:22:09.3044079+08:00	0x04	-0.3734	-0.2058	0.5058	-0.7499	289.10	353.81	50.20
2026-06-18T15:22:09.3369918+08:00	0x08	-0.0041	-0.0084	0.0405	0.9991	4.64	359.02	359.57
2026-06-18T15:22:09.4018649+08:00	0x01	-0.2841	-0.3360	0.5695	-0.6943	287.57	13.14	51.01
2026-06-18T15:22:09.6204165+08:00	0x09	0.0733	0.0031	0.0782	0.9942	9.07	1.03	8.35
