timestamp	device	q0	q1	q2	q3	yaw	pitch	roll
2026-05-08T14:10:09.0723233+08:00	0x06	0.2162	0.0373	-0.9504	0.2204	204.12	336.41	9.57
2026-05-08T14:10:09.1730658+08:00	0x04	-0.0142	-0.0193	-0.2015	0.9792	336.78	358.16	357.96
2026-05-08T14:10:09.3660598+08:00	0x09	0.0521	-0.0682	-0.6404	0.7632	280.04	350.17	359.55
2026-05-08T14:10:09.4509799+08:00	0x02	0.0161	-0.0049	-0.9740	0.2259	206.12	358.07	359.87
2026-05-08T14:10:09.5507624+08:00	0x07	0.8117	0.2640	-0.5180	-0.0561	150.33	242.30	10.51
2026-05-08T14:10:09.5970477+08:00	0x03	0.0102	-0.0472	0.2655	0.9629	30.72	355.09	2.57
2026-05-08T14:10:09.6888391+08:00	0x04	-0.0142	-0.0193	-0.2015	0.9792	336.78	358.16	357.96
2026-05-08T14:10:09.9044189+08:00	0x09	0.0521	-0.0682	-0.6404	0.7632	280.04	350.17	359.55
2026-05-08T14:10:09.9371004+08:00	0x08	-0.0046	-0.0160	0.0535	0.9984	6.14	358.14	359.57
2026-05-08T14:10:10.0549944+08:00	0x01	-0.0196	-0.0669	-0.2269	0.9714	333.94	353.03	356.08
2026-05-08T14:10:10.1062060+08:00	0x07	0.7631	0.1043	-0.6377	0.0112	171.57	259.12	8.63
2026-05-08T14:10:10.1282074+08:00	0x03	0.0103	-0.0472	0.2655	0.9629	30.72	355.09	2.57
2026-05-08T14:10:10.1601789+08:00	0x06	0.5982	-0.1679	-0.7682	-0.1546	177.65	284.73	333.71
2026-05-08T14:10:10.2686047+08:00	0x04	-0.0142	-0.0193	-0.2015	0.9792	336.78	358.16	357.96
2026-05-08T14:10:10.4534298+08:00	0x09	0.0521	-0.0682	-0.6404	0.7632	280.04	350.17	359.55
2026-05-08T14:10:10.5219295+08:00	0x01	-0.0196	-0.0669	-0.2269	0.9714	333.94	353.03	356.08
2026-05-08T14:10:10.6294204+08:00	0x07	0.7742	0.0491	-0.6159	0.1375	185.56	257.78	15.87
2026-05-08T14:10:10.7770467+08:00	0x06	0.5565	-0.0842	-0.8252	0.0478	189.97	291.59	355.08
2026-05-08T14:10:10.9779606+08:00	0x09	0.0521	-0.0682	-0.6404	0.7632	280.04	350.16	359.55
2026-05-08T14:10:11.0383962+08:00	0x01	-0.0196	-0.0669	-0.2269	0.9714	333.94	353.03	356.08
