timestamp	device	q0	q1	q2	q3	yaw	pitch	roll
2026-05-14T15:37:18.3708112+08:00	0x07	-0.2478	-0.6514	0.2944	-0.6539	354.94	87.69	45.04
2026-05-14T15:37:18.7322991+08:00	0x06	-0.7257	-0.0775	0.6824	0.0416	170.25	266.25	2.60
2026-05-14T15:37:18.9065788+08:00	0x07	-0.2704	-0.6537	0.3140	-0.6332	356.16	90.07	48.85
2026-05-14T15:37:19.3012181+08:00	0x06	-0.7374	-0.0613	0.6705	0.0534	170.68	264.54	0.20
2026-05-14T15:37:19.5128608+08:00	0x07	-0.2683	-0.6607	0.3078	-0.6299	357.14	91.46	48.13
2026-05-14T15:37:19.8181111+08:00	0x06	-0.7389	-0.0623	0.6689	0.0520	170.70	264.28	0.37
2026-05-14T15:37:19.9192284+08:00	0x07	-0.2626	-0.6625	0.3040	-0.6322	356.91	91.32	47.29
2026-05-14T15:37:20.3912599+08:00	0x06	-0.7396	-0.0631	0.6681	0.0514	170.67	264.15	0.48
2026-05-14T15:37:20.4629961+08:00	0x07	-0.2611	-0.6629	0.3026	-0.6331	356.89	91.29	47.04
2026-05-14T15:37:20.8633983+08:00	0x06	-0.7389	-0.0633	0.6689	0.0513	170.66	264.26	0.51
2026-05-14T15:37:21.0511183+08:00	0x07	-0.2612	-0.6640	0.3022	-0.6322	357.04	91.52	47.01
2026-05-14T15:37:21.4853756+08:00	0x06	-0.7377	-0.0635	0.6701	0.0523	170.58	264.47	0.46
2026-05-14T15:37:21.5864912+08:00	0x07	-0.2583	-0.6644	0.3012	-0.6334	356.80	91.36	46.67
2026-05-14T15:37:22.0573375+08:00	0x06	-0.7386	-0.0637	0.6692	0.0522	170.57	264.32	0.47
2026-05-14T15:37:22.1341843+08:00	0x07	-0.2590	-0.6645	0.3016	-0.6327	356.88	91.46	46.77
2026-05-14T15:37:22.5271805+08:00	0x06	-0.7337	-0.0662	0.6751	0.0391	171.37	265.09	1.83
2026-05-14T15:37:22.6689972+08:00	0x07	-0.2707	-0.6711	0.3011	-0.6210	359.09	94.03	47.77
2026-05-14T15:37:23.1511110+08:00	0x06	-0.6783	-0.0119	0.7324	0.0580	174.19	274.56	356.49
2026-05-14T15:37:23.1905878+08:00	0x07	-0.3371	-0.6839	0.3143	-0.5656	10.40	106.15	54.22
2026-05-14T15:37:23.7231846+08:00	0x06	-0.6656	-0.0410	0.7449	0.0230	174.90	276.36	1.75
2026-05-14T15:37:23.7391417+08:00	0x07	-0.3352	-0.6835	0.3140	-0.5673	10.00	105.73	54.05
2026-05-14T15:37:24.1962987+08:00	0x06	-0.6614	-0.0217	0.7480	0.0508	173.99	277.14	358.01
2026-05-14T15:37:24.2655993+08:00	0x07	-0.3986	-0.8345	0.2487	-0.2878	43.08	158.36	40.13
2026-05-14T15:37:24.8090640+08:00	0x07	-0.5693	-0.7787	0.2466	-0.0935	74.69	188.93	29.37
2026-05-14T15:37:24.8284206+08:00	0x06	-0.6613	0.0037	0.7447	0.0905	172.48	277.26	352.81
2026-05-14T15:37:25.2927301+08:00	0x06	-0.6547	0.0040	0.7497	0.0967	171.89	278.28	352.38
2026-05-14T15:37:25.4070321+08:00	0x07	-0.7086	-0.6572	0.2544	-0.0352	98.32	199.90	22.60
2026-05-14T15:37:25.8813068+08:00	0x07	-0.7796	-0.5713	0.2567	-0.0017	111.32	204.65	17.21
2026-05-14T15:37:26.3810433+08:00	0x06	-0.6489	0.0117	0.7549	0.0941	172.64	279.15	351.97
2026-05-14T15:37:26.4271520+08:00	0x07	-0.8098	-0.5301	0.2514	0.0050	116.95	205.27	14.98
2026-05-14T15:37:26.9546332+08:00	0x06	-0.6509	0.0185	0.7523	0.1004	172.61	278.86	350.88
2026-05-14T15:37:27.4800420+08:00	0x06	-0.6461	0.0210	0.7549	0.1105	171.85	279.60	349.96
2026-05-14T15:37:27.5424595+08:00	0x07	-0.8437	-0.4761	0.2471	0.0198	123.87	206.42	11.65
2026-05-14T15:37:28.0319354+08:00	0x07	-0.8802	-0.4058	0.2425	0.0413	132.25	207.64	7.13
2026-05-14T15:37:28.5657934+08:00	0x06	-0.6481	0.0075	0.7559	0.0928	172.43	279.28	352.44
2026-05-14T15:37:28.6169920+08:00	0x07	-0.8872	-0.3933	0.2376	0.0427	133.74	207.26	6.38
2026-05-14T15:37:29.1388735+08:00	0x06	-0.6511	0.0190	0.7531	0.0926	173.34	278.81	351.42
2026-05-14T15:37:29.1635822+08:00	0x07	-0.9053	-0.3564	0.2266	0.0450	138.10	206.35	4.59
2026-05-14T15:37:29.7127630+08:00	0x06	-0.6423	0.0353	0.7584	0.1053	173.31	280.11	349.12
2026-05-14T15:37:30.2294702+08:00	0x06	-0.6456	0.0412	0.7538	0.1150	172.94	279.59	347.85
2026-05-14T15:37:30.7025837+08:00	0x06	-0.6369	0.0249	0.7645	0.0960	173.30	280.94	350.77
2026-05-14T15:37:31.2781455+08:00	0x06	-0.6038	-0.0090	0.7934	0.0762	172.40	285.76	355.54
2026-05-14T15:37:31.3597541+08:00	0x07	-0.9028	-0.3586	0.2337	0.0414	137.95	206.98	5.33
2026-05-14T15:37:31.7929817+08:00	0x06	-0.6017	-0.0143	0.7936	0.0891	170.84	286.05	355.15
2026-05-14T15:37:31.9445150+08:00	0x07	-0.9059	-0.3531	0.2316	0.0323	138.83	206.41	6.03
2026-05-14T15:37:32.3699331+08:00	0x06	-0.6204	-0.0225	0.7803	0.0758	171.58	283.28	356.62
2026-05-14T15:37:32.4782555+08:00	0x07	-0.9072	-0.3512	0.2291	0.0332	139.03	206.19	5.78
2026-05-14T15:37:33.0292388+08:00	0x06	-0.6121	-0.0269	0.7850	0.0914	169.82	284.47	356.01
2026-05-14T15:37:33.0943094+08:00	0x07	-0.9082	-0.3425	0.2336	0.0574	139.46	207.67	3.20
2026-05-14T15:37:33.4594688+08:00	0x06	-0.6128	-0.0303	0.7852	0.0842	170.24	284.33	356.81
2026-05-14T15:37:33.5582154+08:00	0x07	-0.9061	-0.3535	0.2290	0.0385	138.62	206.37	5.29
2026-05-14T15:37:34.0503959+08:00	0x06	-0.6099	-0.0244	0.7867	0.0924	169.89	284.81	355.74
2026-05-14T15:37:34.2926229+08:00	0x07	-0.9113	-0.3364	0.2348	0.0347	140.78	206.96	5.44
2026-05-14T15:37:34.5535712+08:00	0x06	-0.6068	-0.0227	0.7887	0.0961	169.65	285.28	355.36
2026-05-14T15:37:34.6252841+08:00	0x07	-0.9112	-0.3335	0.2389	0.0375	141.07	207.53	5.22
2026-05-14T15:37:35.1255758+08:00	0x06	-0.6007	-0.0247	0.7934	0.0951	169.57	286.13	355.70
2026-05-14T15:37:35.5963758+08:00	0x06	-0.5972	-0.0248	0.7959	0.0964	169.42	286.63	355.66
2026-05-14T15:37:35.7047542+08:00	0x07	-0.9066	-0.3380	0.2492	0.0423	140.46	208.84	5.27
2026-05-14T15:37:36.2241483+08:00	0x06	-0.5969	-0.0276	0.7963	0.0937	169.48	286.65	356.10
