timestamp	device	q0	q1	q2	q3	yaw	pitch	roll
2026-05-09T14:45:38.5663589+08:00	0x02	0.0222	0.0056	-0.9634	0.2673	210.99	357.72	1.29
2026-05-09T14:45:38.7456594+08:00	0x06	0.7041	0.0067	-0.7038	-0.0945	171.75	270.49	352.90
2026-05-09T14:45:38.7702668+08:00	0x03	0.0081	-0.0158	0.2173	0.9760	25.08	358.43	1.29
2026-05-09T14:45:38.8319790+08:00	0x04	-0.0134	-0.0249	-0.2579	0.9658	330.15	357.63	357.78
2026-05-09T14:45:38.9025094+08:00	0x01	-0.0209	-0.0305	-0.1361	0.9900	344.42	356.87	357.15
2026-05-09T14:45:39.0354456+08:00	0x08	-0.0033	-0.0550	0.1024	0.9932	11.76	353.69	0.27
2026-05-09T14:45:39.1440424+08:00	0x09	0.0530	-0.0639	-0.6265	0.7750	282.09	350.48	0.12
2026-05-09T14:45:39.2387643+08:00	0x07	-0.0157	-0.0298	-0.2953	0.9548	325.69	357.26	357.27
2026-05-09T14:45:39.3324833+08:00	0x06	0.7501	0.0075	-0.6561	-0.0826	173.09	262.75	353.45
2026-05-09T14:45:39.5904385+08:00	0x08	-0.0033	-0.0550	0.1024	0.9932	11.76	353.69	0.27
2026-05-09T14:45:39.6567591+08:00	0x09	0.0530	-0.0639	-0.6265	0.7750	282.09	350.48	0.12
2026-05-09T14:45:39.7264078+08:00	0x07	-0.0157	-0.0298	-0.2953	0.9548	325.69	357.26	357.27
2026-05-09T14:45:39.8116419+08:00	0x03	0.0081	-0.0158	0.2173	0.9760	25.08	358.43	1.29
2026-05-09T14:45:39.8353616+08:00	0x06	0.7554	0.0205	-0.6509	-0.0732	172.72	261.80	355.19
2026-05-09T14:45:39.9137207+08:00	0x04	-0.0134	-0.0249	-0.2579	0.9658	330.15	357.63	357.78
2026-05-09T14:45:40.1712978+08:00	0x05	-0.0007	0.0129	0.4401	0.8978	52.22	1.29	359.27
2026-05-09T14:45:40.2181784+08:00	0x02	0.0222	0.0055	-0.9634	0.2673	210.99	357.72	1.29
2026-05-09T14:45:40.3281208+08:00	0x07	-0.0157	-0.0298	-0.2953	0.9548	325.69	357.27	357.27
2026-05-09T14:45:40.5008191+08:00	0x04	-0.0134	-0.0249	-0.2579	0.9658	330.15	357.63	357.78
2026-05-09T14:45:40.6258629+08:00	0x05	-0.0007	0.0129	0.4401	0.8978	52.22	1.29	359.27
2026-05-09T14:45:40.6967171+08:00	0x08	-0.0033	-0.0550	0.1024	0.9932	11.76	353.69	0.27
2026-05-09T14:45:40.8136864+08:00	0x09	0.0530	-0.0638	-0.6265	0.7750	282.09	350.48	0.12
2026-05-09T14:45:40.8367676+08:00	0x01	-0.0209	-0.0305	-0.1361	0.9900	344.42	356.87	357.15
2026-05-09T14:45:40.9377371+08:00	0x06	0.7578	0.0270	-0.6480	-0.0715	172.30	261.35	355.79
2026-05-09T14:45:40.9761203+08:00	0x03	0.0081	-0.0158	0.2173	0.9760	25.08	358.43	1.30
2026-05-09T14:45:41.2657880+08:00	0x08	-0.0033	-0.0550	0.1024	0.9932	11.76	353.69	0.27
2026-05-09T14:45:41.3756735+08:00	0x09	0.0530	-0.0638	-0.6265	0.7750	282.09	350.48	0.12
2026-05-09T14:45:41.4148843+08:00	0x01	-0.0209	-0.0305	-0.1361	0.9900	344.42	356.87	357.15
2026-05-09T14:45:41.4622141+08:00	0x03	0.0081	-0.0158	0.2173	0.9760	25.08	358.43	1.30
2026-05-09T14:45:41.6106207+08:00	0x04	-0.0134	-0.0249	-0.2579	0.9658	330.15	357.63	357.78
2026-05-09T14:45:41.7776231+08:00	0x08	-0.0033	-0.0550	0.1024	0.9932	11.76	353.69	0.27
2026-05-09T14:45:41.9316765+08:00	0x01	-0.0209	-0.0305	-0.1361	0.9900	344.42	356.86	357.15
2026-05-09T14:45:41.9936032+08:00	0x07	-0.0157	-0.0298	-0.2953	0.9548	325.69	357.27	357.27
2026-05-09T14:45:42.0333204+08:00	0x09	0.0530	-0.0638	-0.6265	0.7750	282.09	350.48	0.12
2026-05-09T14:45:42.1587711+08:00	0x04	-0.0134	-0.0249	-0.2579	0.9658	330.15	357.64	357.78
2026-05-09T14:45:42.3466233+08:00	0x08	-0.0033	-0.0550	0.1024	0.9932	11.76	353.69	0.27
2026-05-09T14:45:42.4411315+08:00	0x09	0.0530	-0.0638	-0.6265	0.7750	282.09	350.48	0.12
2026-05-09T14:45:42.5033709+08:00	0x01	-0.0209	-0.0305	-0.1361	0.9900	344.42	356.87	357.15
2026-05-09T14:45:42.5342208+08:00	0x03	0.0081	-0.0158	0.2173	0.9760	25.08	358.43	1.30
2026-05-09T14:45:42.5661197+08:00	0x07	-0.0157	-0.0298	-0.2953	0.9548	325.69	357.27	357.27
2026-05-09T14:45:42.5925036+08:00	0x06	0.7590	0.0321	-0.6467	-0.0691	172.04	261.12	356.36
2026-05-09T14:45:42.6982859+08:00	0x04	-0.0134	-0.0249	-0.2579	0.9658	330.15	357.64	357.78
2026-05-09T14:45:42.8666969+08:00	0x08	-0.0033	-0.0550	0.1024	0.9932	11.76	353.69	0.27
2026-05-09T14:45:42.9972070+08:00	0x02	0.0222	0.0055	-0.9634	0.2673	210.99	357.72	1.29
2026-05-09T14:45:43.0371630+08:00	0x09	0.0530	-0.0638	-0.6265	0.7750	282.09	350.48	0.12
2026-05-09T14:45:43.1479857+08:00	0x06	0.7296	0.0230	-0.6785	-0.0819	171.64	266.21	354.93
2026-05-09T14:45:43.2011569+08:00	0x01	-0.0209	-0.0305	-0.1361	0.9900	344.42	356.86	357.15
2026-05-09T14:45:43.3474056+08:00	0x05	-0.0008	0.0129	0.4403	0.8978	52.24	1.29	359.27
2026-05-09T14:45:43.4397859+08:00	0x08	-0.0033	-0.0550	0.1024	0.9932	11.76	353.69	0.27
2026-05-09T14:45:43.4981014+08:00	0x02	0.0222	0.0055	-0.9634	0.2673	210.99	357.72	1.29
2026-05-09T14:45:43.5738911+08:00	0x09	0.0530	-0.0638	-0.6265	0.7750	282.09	350.48	0.12
2026-05-09T14:45:43.6078175+08:00	0x07	-0.0157	-0.0298	-0.2953	0.9548	325.69	357.26	357.27
2026-05-09T14:45:43.6683275+08:00	0x06	0.7041	0.0074	-0.7037	-0.0952	171.63	270.49	352.90
2026-05-09T14:45:43.7703267+08:00	0x04	-0.0134	-0.0249	-0.2579	0.9658	330.15	357.64	357.78
2026-05-09T14:45:43.8237944+08:00	0x01	-0.0209	-0.0305	-0.1361	0.9900	344.42	356.86	357.15
2026-05-09T14:45:43.9567997+08:00	0x08	-0.0033	-0.0550	0.1024	0.9932	11.76	353.69	0.27
