timestamp	device	q0	q1	q2	q3	yaw	pitch	roll	left_knee_deg	right_knee_deg
2026-07-01T22:05:25.5396042+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	0.00	0.00
2026-07-01T22:05:25.5941717+08:00	0x04	0.2577	0.3695	-0.2617	0.8535	340.65	39.85	39.30	0.00	0.00
2026-07-01T22:05:25.6317576+08:00	0x01	-0.2532	-0.4289	0.4931	-0.7133	308.40	35.70	51.65	0.00	0.00
2026-07-01T22:05:25.7624780+08:00	0x02	0.2957	0.4578	-0.6877	0.4796	252.75	4.57	65.97	0.00	0.00
2026-07-01T22:05:25.7943612+08:00	0x03	-0.1954	0.4801	0.4403	0.7331	40.52	48.98	314.82	0.00	0.00
2026-07-01T22:05:25.8939213+08:00	0x07	-0.6544	-0.2037	0.7014	-0.1957	180.54	274.13	32.81	0.00	0.00
2026-07-01T22:05:25.9984371+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	0.00	0.00
2026-07-01T22:05:26.1347710+08:00	0x01	-0.2552	-0.4283	0.4922	-0.7135	308.53	35.61	51.80	0.00	0.00
2026-07-01T22:05:26.2767937+08:00	0x02	0.2998	0.4561	-0.6875	0.4789	251.99	3.49	66.11	0.00	0.00
2026-07-01T22:05:26.3573309+08:00	0x08	-0.6438	0.3512	0.6039	0.3122	187.65	262.29	304.29	0.00	0.00
2026-07-01T22:05:26.4333786+08:00	0x07	-0.6556	-0.2016	0.7015	-0.1936	180.49	274.02	32.45	0.00	0.00
2026-07-01T22:05:26.6271482+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	0.00	0.00
2026-07-01T22:05:26.7860954+08:00	0x04	0.2586	0.3675	-0.2568	0.8556	341.24	39.76	39.15	0.00	0.00
2026-07-01T22:05:26.8432487+08:00	0x02	0.3021	0.4561	-0.6874	0.4778	251.51	2.93	66.29	0.00	0.00
2026-07-01T22:05:26.8830172+08:00	0x03	-0.1929	0.4802	0.4423	0.7325	40.90	48.92	314.98	0.00	0.00
2026-07-01T22:05:26.9783834+08:00	0x07	-0.6564	-0.2001	0.7015	-0.1925	180.51	273.95	32.24	0.00	0.00
2026-07-01T22:05:27.2111482+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	0.00	0.00
2026-07-01T22:05:27.2610619+08:00	0x04	0.2582	0.3682	-0.2567	0.8555	341.28	39.87	39.11	0.00	0.00
2026-07-01T22:05:27.4608001+08:00	0x08	-0.6314	0.3732	0.5927	0.3328	188.73	261.37	300.38	0.00	0.00
2026-07-01T22:05:27.4947099+08:00	0x03	-0.1937	0.4813	0.4412	0.7322	40.64	49.15	314.89	0.00	0.00
2026-07-01T22:05:27.5271249+08:00	0x07	-0.6563	-0.2001	0.7015	-0.1926	180.51	273.95	32.25	0.00	0.00
2026-07-01T22:05:27.6771353+08:00	0x02	0.3015	0.4540	-0.6887	0.4782	251.28	2.66	66.02	0.00	0.00
2026-07-01T22:05:27.7770526+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	0.00	0.00
2026-07-01T22:05:27.9204172+08:00	0x08	-0.6360	0.3657	0.5962	0.3260	188.36	261.63	301.70	0.00	0.00
2026-07-01T22:05:27.9995243+08:00	0x03	-0.1908	0.4825	0.4405	0.7326	40.55	49.42	315.20	0.00	0.00
2026-07-01T22:05:28.1773368+08:00	0x06	0.2078	-0.6701	-0.2271	-0.6754	2.00	88.91	324.20	0.00	0.00
2026-07-01T22:05:28.2949162+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	0.00	0.00
2026-07-01T22:05:28.3452617+08:00	0x04	0.2624	0.3677	-0.2572	0.8543	341.33	39.80	39.60	0.00	0.00
2026-07-01T22:05:28.4664462+08:00	0x08	-0.6379	0.3609	0.5992	0.3222	187.95	262.05	302.48	0.00	0.00
2026-07-01T22:05:28.5448704+08:00	0x07	-0.6549	-0.2062	0.6996	-0.1980	180.48	273.93	33.22	0.00	0.00
2026-07-01T22:05:28.5777828+08:00	0x03	-0.1901	0.4842	0.4385	0.7329	40.18	49.80	315.31	0.00	0.00
2026-07-01T22:05:28.6945943+08:00	0x06	0.2076	-0.6692	-0.2274	-0.6763	2.10	88.72	324.19	0.00	0.00
2026-07-01T22:05:28.8669378+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	0.00	0.00
2026-07-01T22:05:28.9450400+08:00	0x04	0.2611	0.3676	-0.2587	0.8543	341.09	39.72	39.51	0.00	0.00
2026-07-01T22:05:28.9949479+08:00	0x08	-0.6316	0.3697	0.5954	0.3314	188.13	261.99	300.80	0.00	0.00
2026-07-01T22:05:29.0509843+08:00	0x06	0.2066	-0.6684	-0.2274	-0.6774	2.25	88.51	324.27	0.00	0.00
2026-07-01T22:05:29.1447291+08:00	0x07	-0.6539	-0.2078	0.6993	-0.2004	180.58	274.01	33.55	0.00	0.00
2026-07-01T22:05:29.3861583+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	0.00	0.00
2026-07-01T22:05:29.4448115+08:00	0x04	0.2593	0.3685	-0.2548	0.8556	341.58	40.00	39.16	0.00	0.00
2026-07-01T22:05:29.5278172+08:00	0x02	0.2993	0.4583	-0.6880	0.4765	251.74	3.56	66.33	0.00	0.00
2026-07-01T22:05:29.5782643+08:00	0x08	-0.6280	0.3721	0.5952	0.3360	187.72	262.49	300.13	0.00	0.00
2026-07-01T22:05:29.6950890+08:00	0x03	-0.1916	0.4815	0.4393	0.7338	40.41	49.30	315.23	0.00	0.00
2026-07-01T22:05:29.8445305+08:00	0x07	-0.6515	-0.2101	0.6999	-0.2037	180.79	274.34	34.02	0.00	0.00
2026-07-01T22:05:29.8774426+08:00	0x01	-0.2536	-0.4316	0.4917	-0.7124	308.83	36.24	51.80	0.00	0.00
2026-07-01T22:05:30.0369498+08:00	0x04	0.2564	0.3690	-0.2503	0.8576	342.10	40.24	38.64	0.00	0.00
2026-07-01T22:05:30.1461784+08:00	0x06	0.2046	-0.6638	-0.2301	-0.6816	2.97	87.53	324.24	0.00	0.00
2026-07-01T22:05:30.1949919+08:00	0x07	-0.6506	-0.2106	0.7003	-0.2049	180.90	274.49	34.17	0.00	0.00
2026-07-01T22:05:30.2506154+08:00	0x03	-0.1942	0.4801	0.4451	0.7306	41.28	48.74	314.68	0.00	0.00
2026-07-01T22:05:30.4441581+08:00	0x01	-0.2522	-0.4322	0.4863	-0.7163	309.86	36.83	51.41	0.00	0.00
